Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Baden-Württem­berg,36.917,+98,367,"3,3",1.841,,,,,,,,,,,,,,
Bayern,50.589,+88,656,"5,0",2.619,,,,,,,,,,,,,,
Berlin,9.020,+19,203,"5,4",223,,,,,,,,,,,,,,
Branden­burg,3.527,+3,31,"1,2",168,,,,,,,,,,,,,,
Bremen,1.752,+5,31,"4,5",55,,,,,,,,,,,,,,
Hamburg,5.326,+4,79,"4,3",261,,,,,,,,,,,,,,
Hessen,11.743,+58,299,"4,8",518,,,,,,,,,,,,,,
"Meck­lenburg-
Vor­pommern",845,+2,36,"2,2",20,,,,,,,,,,,,,,
Nieder­sachsen,14.288,+47,220,"2,8",648,,,,,,,,,,,,,,
Nord­rhein-West­falen,47.740,+269,1.430,"8,0",1.730,,,,,,,,,,,,,,
Rhein­land-Pfalz,7.442,+8,91,"2,2",238,,,,,,,,,,,,,,
Saarland,2.852,+1,21,"2,1",174,,,,,,,,,,,,,,
Sachsen,5.518,+6,19,"0,5",225,,,,,,,,,,,,,,
Sachsen-Anhalt,1.991,+2,33,"1,5",64,,,,,,,,,,,,,,
Schles­wig-Holstein,3.341,+19,69,"2,4",156,,,,,,,,,,,,,,
Thüringen,3.351,+4,26,"1,2",182,,,,,,,,,,,,,,
Gesamt,206.242,+633,3.611,"4,3",9.122,,,,,,,,,,,,,,